Data Model,Event Type,Field Group,Title,Data Type,Consistency,Required,Notes,Description
Media,New,Media,Media.Authenticator.ID,String,1,false,"This ID is often required for Inpatient Visits.","ID of the provider who authenticated the document"
Media,New,Media,Media.Authenticator.IDType,String,1,false,"","ID type of the ID for the provider who authenticated the document"
Media,New,Media,Media.Authenticator.FirstName,String,3,false,"","First name of the provider who authenticated the document"
Media,New,Media,Media.Authenticator.LastName,String,3,false,"","Last name of the provider who authenticated the document"
Media,New,Media,Media.Authenticator.Credentials[],Array of Strings,3,false,"e.g. MD, PhD","List of credentials for the provider who authenticated the document"
Media,New,Media,Media.Authenticator.Address,Object,3,false,"","Provider's address"
Media,New,Media,Media.Authenticator.Address.StreetAddress,String,3,false,"","Street address"
Media,New,Media,Media.Authenticator.Address.City,String,3,false,"","City"
Media,New,Media,Media.Authenticator.Address.State,String,3,false,"","State"
Media,New,Media,Media.Authenticator.Address.ZIP,String,3,false,"","ZIP"
Media,New,Media,Media.Authenticator.Address.County,String,3,false,"","County"
Media,New,Media,Media.Authenticator.Address.Country,String,3,false,"","Country"
Media,New,Media,Media.Authenticator.EmailAddresses[],Array of Strings,2,false,"","Provider's email address(es)"
Media,New,Media,Media.Authenticator.PhoneNumber.Office,String,3,false,"In E. 164 Format. (e.g. +16085551234)","Provider's office phone number"
Media,New,Media,Media.Authenticator.Location,Object,3,false,"","Provider's location"
Media,New,Media,Media.Authenticator.Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Media,New,Media,Media.Authenticator.Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Media,New,Media,Media.Authenticator.Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Media,New,Media,Media.Authenticator.Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Media,New,Media,Media.Authenticator.Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,New,Media,Media.Authenticator.Location.Department,String,3,false,"","Department"
Media,New,Media,Media.Authenticator.Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Media,New,Media,Media.Authenticator.Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Media,New,Media,Media.Authenticator.Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,New,Media,Media.Authenticator.Location.Room,String,3,false,"Example: 136","Room"
Media,New,Media,Media.Availability,String,1,true,"Not supported with data on demand.","Indicates whether the document is available for use. This should be populated with either Available or Unavailable."
Media,New,Media,Media.Notifications[],Array of Objects,1,false,"Not supported with data on demand.","Contains a list of providers that should be notified when the document posts to the patient's chart."
Media,New,Media,Media.Notifications[].ID,String,1,false,"This ID is often required for Inpatient Visits.","ID of the provider who should be notified"
Media,New,Media,Media.Notifications[].IDType,String,1,false,"","ID type of the ID for the provider who should be notified"
Media,New,Media,Media.Notifications[].FirstName,String,3,false,"","First name of the provider who should be notified"
Media,New,Media,Media.Notifications[].LastName,String,3,false,"","Last name of the provider who should be notified"
Media,New,Media,Media.Notifications[].Credentials[],Array of Strings,3,false,"e.g. MD, PhD","List of credentials for the provider who should be notified"
Media,New,Media,Media.Notifications[].Address,Object,3,false,"","Provider's address"
Media,New,Media,Media.Notifications[].Address.StreetAddress,String,3,false,"","Street address"
Media,New,Media,Media.Notifications[].Address.City,String,3,false,"","City"
Media,New,Media,Media.Notifications[].Address.State,String,3,false,"","State"
Media,New,Media,Media.Notifications[].Address.ZIP,String,3,false,"","ZIP"
Media,New,Media,Media.Notifications[].Address.County,String,3,false,"","County"
Media,New,Media,Media.Notifications[].Address.Country,String,3,false,"","Country"
Media,New,Media,Media.Notifications[].EmailAddresses[],Array of Strings,2,false,"","Provider's email address(es)"
Media,New,Media,Media.Notifications[].PhoneNumber.Office,String,3,false,"In E. 164 Format. (e.g. +16085551234)","Provider's office phone number"
Media,New,Media,Media.Notifications[].Location,Object,3,false,"","Provider's location"
Media,New,Media,Media.Notifications[].Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Media,New,Media,Media.Notifications[].Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Media,New,Media,Media.Notifications[].Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Media,New,Media,Media.Notifications[].Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Media,New,Media,Media.Notifications[].Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,New,Media,Media.Notifications[].Location.Department,String,3,false,"","Department"
Media,New,Media,Media.Notifications[].Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Media,New,Media,Media.Notifications[].Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Media,New,Media,Media.Notifications[].Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,New,Media,Media.Notifications[].Location.Room,String,3,false,"Example: 136","Room"
Media,New,Orders,Orders[].ID,String,3,false,"","Contains the unique identifier of the order request, which is assigned by the system that placed the order."
Media,New,Orders,Orders[].Name,String,3,false,"","Displays the name of the order, which is assigned by the system that placed the order."
Media,Replace,Meta,Meta.DataModel,String,1,true,"","Media"
Media,Replace,Meta,Meta.EventType,String,1,true,"","Replace"
Media,Replace,Meta,Meta.EventDateTime,DateTime,1,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Displays the UTC date and time that an outgoing request is delivered or an incoming request is received."
Media,Replace,Meta,Meta.Test,Boolean,1,false,"","Indicates whether the request is a test or not."
Media,Replace,Meta,Meta.Source,String,1,false,"Included in messages from Redox","Contains the information for the system initiating the message, including the source ID and name."
Media,Replace,Meta,Meta.Source.ID,String,1,false,"UUID","Identifies the system initiating the message. If you have multiple OAuth API keys per environment type, this value is required. If you have only one OAuth API key per environment type, or you're using legacy API keys, this value is optional."
Media,Replace,Meta,Meta.Source.Name,String,1,false,"","Displays the name of the system initiating the message."
Media,Replace,Meta,Meta.Destinations[],Array of Objects,1,false,"Required when sending data to Redox.","Contains the information for the endpoint(s) receiving the request. A request must contain at least one destination, but asynchronous requests can have more than one destination. Synchronous requests like queries can only support one destination."
Media,Replace,Meta,Meta.Destinations[].ID,String,1,false,"UUID","Identifies the endpoint that the request is directed to."
Media,Replace,Meta,Meta.Destinations[].Name,String,1,false,"","Displays the name of the endpoint that the request is directed to."
Media,Replace,Meta,Meta.Logs[],Array of Objects,1,false,"","Contains the log identifier(s) for the request."
Media,Replace,Meta,Meta.Logs[].ID,String,1,false,"UUID","Identifies the request log(s) that correspond to this request. You can use this value to locate the relevant log in the Redox dashboard for support and reference."
Media,Replace,Meta,Meta.Logs[].AttemptID,String,1,false,"UUID","Identifies the request log attempt value, which is useful when retries are possible."
Media,Replace,Meta,Meta.FacilityCode,String,3,false,"Only use this field if a health system indicates you should. The code is specific to the health system's EHR and might not be unique across health systems. In general, the facility fields within the data models (e.g. OrderingFacility) are more reliable and informative.","Code for the facility related to the message."
Media,Replace,Patient,Patient.Identifiers[],Array of Objects,1,false,"","List of IDs and ID types that identify the patient"
Media,Replace,Patient,Patient.Identifiers[].ID,String,1,true,"","ID for the patient"
Media,Replace,Patient,Patient.Identifiers[].IDType,String,1,true,"E.g. MRN, EPI","Type of ID"
Media,Replace,Patient,Patient.Demographics.FirstName,String,1,false,"","Patient's first name"
Media,Replace,Patient,Patient.Demographics.MiddleName,String,3,false,"","Patient's middle name or middle initial. For patients with multiple middle names, all their middle names are included in this field."
Media,Replace,Patient,Patient.Demographics.LastName,String,1,false,"","Patient's last name"
Media,Replace,Patient,Patient.Demographics.DOB,String,1,false,"In [ISO 8601 format](http://en.wikipedia.org/wiki/ISO_8601)","Patient's date of birth"
Media,Replace,Patient,Patient.Demographics.SSN,String,2,false,"","Patient's social security number"
Media,Replace,Patient,Patient.Demographics.Sex,String,1,false,"","Patient's sex"
Media,Replace,Patient,Patient.Demographics.Race,String,3,false,"","Patient's race"
Media,Replace,Patient,Patient.Demographics.IsHispanic,Boolean,3,false,"","Indicates if the patient is of hispanic origin."
Media,Replace,Patient,Patient.Demographics.Religion,String,3,false,"","Patient's religious affiliation"
Media,Replace,Patient,Patient.Demographics.MaritalStatus,String,3,false,"","Patient's marital status"
Media,Replace,Patient,Patient.Demographics.IsDeceased,Boolean,3,false,"","Indicates if the patient is deceased"
Media,Replace,Patient,Patient.Demographics.DeathDateTime,DateTime,3,false,"[ISO 8601 Format](https://en.wikipedia.org/wiki/ISO_8601)","Date and Time the patient was proclaimed deceased."
Media,Replace,Patient,Patient.Demographics.PhoneNumber.Home,String,2,false,"In E. 164 Format. (e.g. +16085551234)","Patient's home phone number"
Media,Replace,Patient,Patient.Demographics.PhoneNumber.Office,String,2,false,"In E. 164 Format. (e.g. +16085551234)","Patient's office phone number"
Media,Replace,Patient,Patient.Demographics.PhoneNumber.Mobile,String,2,false,"In E. 164 Format. (e.g. +16085551234)","Patient's mobile phone number"
Media,Replace,Patient,Patient.Demographics.EmailAddresses[],Array of Strings,2,false,"","Patient's email address(es)"
Media,Replace,Patient,Patient.Demographics.Language,String,3,false,"In ISO 639-1 alpha values (e.g. 'en'). [Supported Values](http://www.loc.gov/standards/iso639-2/php/code_list.php)","Patient's primary spoken language"
Media,Replace,Patient,Patient.Demographics.Citizenship[],Array of strings,3,false,"In ISO 3166 alpha 2 format (e.g. 'US').","Patient's nation(s) of citizenship"
Media,Replace,Patient,Patient.Demographics.Address,Object,2,false,"","Patient's home address"
Media,Replace,Patient,Patient.Demographics.Address.StreetAddress,String,2,false,"","Street address"
Media,Replace,Patient,Patient.Demographics.Address.City,String,2,false,"","City"
Media,Replace,Patient,Patient.Demographics.Address.State,String,2,false,"","State"
Media,Replace,Patient,Patient.Demographics.Address.ZIP,String,2,false,"","ZIP"
Media,Replace,Patient,Patient.Demographics.Address.County,String,3,false,"","County"
Media,Replace,Patient,Patient.Demographics.Address.Country,String,3,false,"","Country"
Media,Replace,Patient,Patient.Notes[],Array of strings,3,false,"","Patient-level notes"
Media,Replace,Visit,Visit.VisitNumber,String,1,false,"","Displays a unique identifier for the patient visit. We highly recommend including a visit number so the document can be associated with a specific visit."
Media,Replace,Visit,Visit.AccountNumber,String,3,false,"Not supported with data on demand.","Contains an identifier that can span several visits often related to the same patient condition (e.g., surgeries, research study, pregnancy). In other words, the account number can be used to link related visits."
Media,Replace,Visit,Visit.Location,Object,2,false,"","Displays the location of the patient visit. This may be used to validate or to identify your application/device."
Media,Replace,Visit,Visit.Location.Type,String,2,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Media,Replace,Visit,Visit.Location.Facility,String,2,false,"Example: Community Hospital","Facility"
Media,Replace,Visit,Visit.Location.FacilityIdentifiers[],Array of Objects,2,false,"","List of IDs specific to this facility"
Media,Replace,Visit,Visit.Location.FacilityIdentifiers[].ID,String,2,false,"","An ID specific to this facility"
Media,Replace,Visit,Visit.Location.FacilityIdentifiers[].IDType,String,2,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Visit,Visit.Location.Department,String,2,false,"","Department"
Media,Replace,Visit,Visit.Location.DepartmentIdentifiers[],Array of Objects,2,false,"","List of IDs specific to this department"
Media,Replace,Visit,Visit.Location.DepartmentIdentifiers[].ID,String,2,false,"","An ID specific to this department"
Media,Replace,Visit,Visit.Location.DepartmentIdentifiers[].IDType,String,2,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Visit,Visit.Location.Room,String,2,false,"Example: 136","Room"
Media,Replace,Visit,Visit.Location.Bed,String,2,false,"Example: B","Bed"
Media,Replace,Media,Media.FileType,String,1,true,"","Identifies the format of the file (e.g., PDF, JPG)."
Media,Replace,Media,Media.FileName,String,1,true,"","Displays the name of the file."
Media,Replace,Media,Media.FileContents,String (Base64),1,true,"","Contains the encoded base64 string with the contents of the file."
Media,Replace,Media,Media.DocumentType,String,1,true,"","Classifies the type of document (e.g., consent form, treatment plan)."
Media,Replace,Media,Media.OriginalDocumentID,String,undefined,true,"","ID of the document being replaced"
Media,Replace,Media,Media.DocumentID,String,1,true,"","Contains the unique identifier for the document. You must have the document ID to update the document later."
Media,Replace,Media,Media.DocumentDescription,String,3,false,"","Contains a descriptive label for the document."
Media,Replace,Media,Media.CreationDateTime,DateTime,3,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Displays the timestamp for when the file was created."
Media,Replace,Media,Media.ServiceDateTime,DateTime,3,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Displays the timestamp for when the related clinical service occurred."
Media,Replace,Media,Media.DirectAddressFrom,String,3,false,"Not supported with data on demand.","Contains the sender's Direct address if one or both sides are using Direct messaging."
Media,Replace,Media,Media.DirectAddressTo,String,3,false,"Not supported with data on demand.","Contains the recipient's Direct address if one or both sides are using Direct messaging."
Media,Replace,Media,Media.Provider.ID,String,1,true,"","ID of the Identifies the provider that's responsible for the document."
Media,Replace,Media,Media.Provider.IDType,String,1,false,"","ID type of the ID for the Identifies the provider that's responsible for the document."
Media,Replace,Media,Media.Provider.FirstName,String,3,false,"","First name of the Identifies the provider that's responsible for the document."
Media,Replace,Media,Media.Provider.LastName,String,3,false,"","Last name of the Identifies the provider that's responsible for the document."
Media,Replace,Media,Media.Provider.Credentials[],Array of Strings,3,false,"e.g. MD, PhD","List of credentials for the Identifies the provider that's responsible for the document."
Media,Replace,Media,Media.Provider.Address,Object,3,false,"","Provider's address"
Media,Replace,Media,Media.Provider.Address.StreetAddress,String,3,false,"","Street address"
Media,Replace,Media,Media.Provider.Address.City,String,3,false,"","City"
Media,Replace,Media,Media.Provider.Address.State,String,3,false,"","State"
Media,Replace,Media,Media.Provider.Address.ZIP,String,3,false,"","ZIP"
Media,Replace,Media,Media.Provider.Address.County,String,3,false,"","County"
Media,Replace,Media,Media.Provider.Address.Country,String,3,false,"","Country"
Media,Replace,Media,Media.Provider.EmailAddresses[],Array of Strings,2,false,"","Provider's email address(es)"
Media,Replace,Media,Media.Provider.PhoneNumber.Office,String,3,false,"In E. 164 Format. (e.g. +16085551234)","Provider's office phone number"
Media,Replace,Media,Media.Provider.Location,Object,3,false,"","Provider's location"
Media,Replace,Media,Media.Provider.Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Media,Replace,Media,Media.Provider.Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Media,Replace,Media,Media.Provider.Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Media,Replace,Media,Media.Provider.Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Media,Replace,Media,Media.Provider.Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Media,Media.Provider.Location.Department,String,3,false,"","Department"
Media,Replace,Media,Media.Provider.Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Media,Replace,Media,Media.Provider.Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Media,Replace,Media,Media.Provider.Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Media,Media.Provider.Location.Room,String,3,false,"Example: 136","Room"
Media,Replace,Media,Media.Authenticated,String,1,false,"Not supported with data on demand.","Displays the authenticated status of the document, which can be either True or False. If True, we recommend populating the related Media.Authenticator field."
Media,Replace,Media,Media.Authenticator.ID,String,1,false,"This ID is often required for Inpatient Visits.","ID of the provider who authenticated the document"
Media,Replace,Media,Media.Authenticator.IDType,String,1,false,"","ID type of the ID for the provider who authenticated the document"
Media,Replace,Media,Media.Authenticator.FirstName,String,3,false,"","First name of the provider who authenticated the document"
Media,Replace,Media,Media.Authenticator.LastName,String,3,false,"","Last name of the provider who authenticated the document"
Media,Replace,Media,Media.Authenticator.Credentials[],Array of Strings,3,false,"e.g. MD, PhD","List of credentials for the provider who authenticated the document"
Media,Replace,Media,Media.Authenticator.Address,Object,3,false,"","Provider's address"
Media,Replace,Media,Media.Authenticator.Address.StreetAddress,String,3,false,"","Street address"
Media,Replace,Media,Media.Authenticator.Address.City,String,3,false,"","City"
Media,Replace,Media,Media.Authenticator.Address.State,String,3,false,"","State"
Media,Replace,Media,Media.Authenticator.Address.ZIP,String,3,false,"","ZIP"
Media,Replace,Media,Media.Authenticator.Address.County,String,3,false,"","County"
Media,Replace,Media,Media.Authenticator.Address.Country,String,3,false,"","Country"
Media,Replace,Media,Media.Authenticator.EmailAddresses[],Array of Strings,2,false,"","Provider's email address(es)"
Media,Replace,Media,Media.Authenticator.PhoneNumber.Office,String,3,false,"In E. 164 Format. (e.g. +16085551234)","Provider's office phone number"
Media,Replace,Media,Media.Authenticator.Location,Object,3,false,"","Provider's location"
Media,Replace,Media,Media.Authenticator.Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Media,Replace,Media,Media.Authenticator.Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Media,Replace,Media,Media.Authenticator.Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Media,Replace,Media,Media.Authenticator.Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Media,Replace,Media,Media.Authenticator.Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Media,Media.Authenticator.Location.Department,String,3,false,"","Department"
Media,Replace,Media,Media.Authenticator.Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Media,Replace,Media,Media.Authenticator.Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Media,Replace,Media,Media.Authenticator.Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Media,Media.Authenticator.Location.Room,String,3,false,"Example: 136","Room"
Media,Replace,Media,Media.Availability,String,1,true,"Not supported with data on demand.","Indicates whether the document is available for use. This should be populated with either Available or Unavailable."
Media,Replace,Media,Media.Notifications[],Array of Objects,1,false,"Not supported with data on demand.","Contains a list of providers that should be notified when the document posts to the patient's chart."
Media,Replace,Media,Media.Notifications[].ID,String,1,false,"This ID is often required for Inpatient Visits.","ID of the provider who should be notified"
Media,Replace,Media,Media.Notifications[].IDType,String,1,false,"","ID type of the ID for the provider who should be notified"
Media,Replace,Media,Media.Notifications[].FirstName,String,3,false,"","First name of the provider who should be notified"
Media,Replace,Media,Media.Notifications[].LastName,String,3,false,"","Last name of the provider who should be notified"
Media,Replace,Media,Media.Notifications[].Credentials[],Array of Strings,3,false,"e.g. MD, PhD","List of credentials for the provider who should be notified"
Media,Replace,Media,Media.Notifications[].Address,Object,3,false,"","Provider's address"
Media,Replace,Media,Media.Notifications[].Address.StreetAddress,String,3,false,"","Street address"
Media,Replace,Media,Media.Notifications[].Address.City,String,3,false,"","City"
Media,Replace,Media,Media.Notifications[].Address.State,String,3,false,"","State"
Media,Replace,Media,Media.Notifications[].Address.ZIP,String,3,false,"","ZIP"
Media,Replace,Media,Media.Notifications[].Address.County,String,3,false,"","County"
Media,Replace,Media,Media.Notifications[].Address.Country,String,3,false,"","Country"
Media,Replace,Media,Media.Notifications[].EmailAddresses[],Array of Strings,2,false,"","Provider's email address(es)"
Media,Replace,Media,Media.Notifications[].PhoneNumber.Office,String,3,false,"In E. 164 Format. (e.g. +16085551234)","Provider's office phone number"
Media,Replace,Media,Media.Notifications[].Location,Object,3,false,"","Provider's location"
Media,Replace,Media,Media.Notifications[].Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Media,Replace,Media,Media.Notifications[].Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Media,Replace,Media,Media.Notifications[].Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Media,Replace,Media,Media.Notifications[].Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Media,Replace,Media,Media.Notifications[].Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Media,Media.Notifications[].Location.Department,String,3,false,"","Department"
Media,Replace,Media,Media.Notifications[].Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Media,Replace,Media,Media.Notifications[].Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Media,Replace,Media,Media.Notifications[].Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Replace,Media,Media.Notifications[].Location.Room,String,3,false,"Example: 136","Room"
Media,Replace,Orders,Orders[].ID,String,3,false,"","Contains the unique identifier of the order request, which is assigned by the system that placed the order."
Media,Replace,Orders,Orders[].Name,String,3,false,"","Displays the name of the order, which is assigned by the system that placed the order."
Media,Delete,Meta,Meta.DataModel,String,1,true,"","Media"
Media,Delete,Meta,Meta.EventType,String,1,true,"","Delete"
Media,Delete,Meta,Meta.EventDateTime,DateTime,1,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Displays the UTC date and time that an outgoing request is delivered or an incoming request is received."
Media,Delete,Meta,Meta.Test,Boolean,1,false,"","Indicates whether the request is a test or not."
Media,Delete,Meta,Meta.Source,String,1,false,"Included in messages from Redox","Contains the information for the system initiating the message, including the source ID and name."
Media,Delete,Meta,Meta.Source.ID,String,1,false,"UUID","Identifies the system initiating the message. If you have multiple OAuth API keys per environment type, this value is required. If you have only one OAuth API key per environment type, or you're using legacy API keys, this value is optional."
Media,Delete,Meta,Meta.Source.Name,String,1,false,"","Displays the name of the system initiating the message."
Media,Delete,Meta,Meta.Destinations[],Array of Objects,1,false,"Required when sending data to Redox.","Contains the information for the endpoint(s) receiving the request. A request must contain at least one destination, but asynchronous requests can have more than one destination. Synchronous requests like queries can only support one destination."
Media,Delete,Meta,Meta.Destinations[].ID,String,1,false,"UUID","Identifies the endpoint that the request is directed to."
Media,Delete,Meta,Meta.Destinations[].Name,String,1,false,"","Displays the name of the endpoint that the request is directed to."
Media,Delete,Meta,Meta.Logs[],Array of Objects,1,false,"","Contains the log identifier(s) for the request."
Media,Delete,Meta,Meta.Logs[].ID,String,1,false,"UUID","Identifies the request log(s) that correspond to this request. You can use this value to locate the relevant log in the Redox dashboard for support and reference."
Media,Delete,Meta,Meta.Logs[].AttemptID,String,1,false,"UUID","Identifies the request log attempt value, which is useful when retries are possible."
Media,Delete,Meta,Meta.FacilityCode,String,3,false,"Only use this field if a health system indicates you should. The code is specific to the health system's EHR and might not be unique across health systems. In general, the facility fields within the data models (e.g. OrderingFacility) are more reliable and informative.","Code for the facility related to the message."
Media,Delete,Patient,Patient.Identifiers[],Array of Objects,1,false,"","List of IDs and ID types that identify the patient"
Media,Delete,Patient,Patient.Identifiers[].ID,String,1,true,"","ID for the patient"
Media,Delete,Patient,Patient.Identifiers[].IDType,String,1,true,"E.g. MRN, EPI","Type of ID"
Media,Delete,Patient,Patient.Demographics.FirstName,String,1,false,"","Patient's first name"
Media,Delete,Patient,Patient.Demographics.MiddleName,String,3,false,"","Patient's middle name or middle initial. For patients with multiple middle names, all their middle names are included in this field."
Media,Delete,Patient,Patient.Demographics.LastName,String,1,false,"","Patient's last name"
Media,Delete,Patient,Patient.Demographics.DOB,String,1,false,"In [ISO 8601 format](http://en.wikipedia.org/wiki/ISO_8601)","Patient's date of birth"
Media,Delete,Patient,Patient.Demographics.SSN,String,2,false,"","Patient's social security number"
Media,Delete,Patient,Patient.Demographics.Sex,String,1,false,"","Patient's sex"
Media,Delete,Patient,Patient.Demographics.Race,String,3,false,"","Patient's race"
Media,Delete,Patient,Patient.Demographics.IsHispanic,Boolean,3,false,"","Indicates if the patient is of hispanic origin."
Media,Delete,Patient,Patient.Demographics.Religion,String,3,false,"","Patient's religious affiliation"
Media,Delete,Patient,Patient.Demographics.MaritalStatus,String,3,false,"","Patient's marital status"
Media,Delete,Patient,Patient.Demographics.IsDeceased,Boolean,3,false,"","Indicates if the patient is deceased"
Media,Delete,Patient,Patient.Demographics.DeathDateTime,DateTime,3,false,"[ISO 8601 Format](https://en.wikipedia.org/wiki/ISO_8601)","Date and Time the patient was proclaimed deceased."
Media,Delete,Patient,Patient.Demographics.PhoneNumber.Home,String,2,false,"In E. 164 Format. (e.g. +16085551234)","Patient's home phone number"
Media,Delete,Patient,Patient.Demographics.PhoneNumber.Office,String,2,false,"In E. 164 Format. (e.g. +16085551234)","Patient's office phone number"
Media,Delete,Patient,Patient.Demographics.PhoneNumber.Mobile,String,2,false,"In E. 164 Format. (e.g. +16085551234)","Patient's mobile phone number"
Media,Delete,Patient,Patient.Demographics.EmailAddresses[],Array of Strings,2,false,"","Patient's email address(es)"
Media,Delete,Patient,Patient.Demographics.Language,String,3,false,"In ISO 639-1 alpha values (e.g. 'en'). [Supported Values](http://www.loc.gov/standards/iso639-2/php/code_list.php)","Patient's primary spoken language"
Media,Delete,Patient,Patient.Demographics.Citizenship[],Array of strings,3,false,"In ISO 3166 alpha 2 format (e.g. 'US').","Patient's nation(s) of citizenship"
Media,Delete,Patient,Patient.Demographics.Address,Object,2,false,"","Patient's home address"
Media,Delete,Patient,Patient.Demographics.Address.StreetAddress,String,2,false,"","Street address"
Media,Delete,Patient,Patient.Demographics.Address.City,String,2,false,"","City"
Media,Delete,Patient,Patient.Demographics.Address.State,String,2,false,"","State"
Media,Delete,Patient,Patient.Demographics.Address.ZIP,String,2,false,"","ZIP"
Media,Delete,Patient,Patient.Demographics.Address.County,String,3,false,"","County"
Media,Delete,Patient,Patient.Demographics.Address.Country,String,3,false,"","Country"
Media,Delete,Patient,Patient.Notes[],Array of strings,3,false,"","Patient-level notes"
Media,Delete,Visit,Visit.VisitNumber,String,1,false,"","Displays a unique identifier for the patient visit. We highly recommend including a visit number so the document can be associated with a specific visit."
Media,Delete,Visit,Visit.AccountNumber,String,3,false,"Not supported with data on demand.","Contains an identifier that can span several visits often related to the same patient condition (e.g., surgeries, research study, pregnancy). In other words, the account number can be used to link related visits."
Media,Delete,Visit,Visit.Location,Object,2,false,"","Displays the location of the patient visit. This may be used to validate or to identify your application/device."
Media,Delete,Visit,Visit.Location.Type,String,2,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Media,Delete,Visit,Visit.Location.Facility,String,2,false,"Example: Community Hospital","Facility"
Media,Delete,Visit,Visit.Location.FacilityIdentifiers[],Array of Objects,2,false,"","List of IDs specific to this facility"
Media,Delete,Visit,Visit.Location.FacilityIdentifiers[].ID,String,2,false,"","An ID specific to this facility"
Media,Delete,Visit,Visit.Location.FacilityIdentifiers[].IDType,String,2,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Delete,Visit,Visit.Location.Department,String,2,false,"","Department"
Media,Delete,Visit,Visit.Location.DepartmentIdentifiers[],Array of Objects,2,false,"","List of IDs specific to this department"
Media,Delete,Visit,Visit.Location.DepartmentIdentifiers[].ID,String,2,false,"","An ID specific to this department"
Media,Delete,Visit,Visit.Location.DepartmentIdentifiers[].IDType,String,2,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Media,Delete,Visit,Visit.Location.Room,String,2,false,"Example: 136","Room"
Media,Delete,Visit,Visit.Location.Bed,String,2,false,"Example: B","Bed"
